title,listed_in,description,new_description,cluster_id,,,
Suicide (Hitabdut),"International Movies, Thrillers","A failed businessman must kill himself to pay off a loan shark or his family will die, but a detective discovers the case turns on a shocking secret.",a failed businessman must kill himself to pay off a loan shark or his family will die but a detective discovers the case turns on a shocking secret,19,,,
Suite FranÃ§aise,"Dramas, International Movies, Romantic Movies","Waiting for news of her prisoner-of-war husband, a French woman in Nazi-occupied France reluctantly falls for a German officer quartering in her home.",waiting for news of her prisoner of war husband a french woman in nazi occupied france reluctantly falls for a german officer quartering in her home,12,,,
Summer Night,"Comedies, Dramas, Romantic Movies",A group of 20-somethings in a small town experience a variety of personal and relationship issues leading up to a gathering at the local watering hole.,a group of 20 somethings in a small town experience a variety of personal and relationship issues leading up to a gathering at the local watering hole,16,,,
Summer of '92,"Dramas, International Movies, Sports Movies","When a quirk of fate kicks the Danish national soccer team into the European Championship final, the coach must whip his unprepared squad into shape.",when a quirk of fate kicks the danish national soccer team into the european championship final the coach must whip his unprepared squad into shape,2,,,
Sunrise,"Dramas, Independent Movies, International Movies","While investigating a child kidnapping, a Mumbai police inspector is haunted by a shadowy dream figure and memories of his own abducted daughter.",while investigating a child kidnapping a mumbai police inspector is haunted by a shadowy dream figure and memories of his own abducted daughter,19,,,
Super Bheem Bana Vajraveer,Children & Family Movies,"Hoping to find a magical root, a monster has captured farmers in the land of Vyom. Itâ€™s up to Bheem and the gang to foil his plan and save the kingdom!",hoping to find a magical root a monster has captured farmers in the land of vyom itâ€™s up to bheem and the gang to foil his plan and save the kingdom,7,,,
Super Dark Times,"Dramas, Independent Movies, Thrillers","A tragic accident drives a wedge between two teenage boys, threatening a friendship that had seemed firm and unshakeable.",a tragic accident drives a wedge between two teenage boys threatening a friendship that had seemed firm and unshakeable,0,,,
Super Nani,"Comedies, Dramas, International Movies","A loving, concerned American grandson travels to Mumbai to rescue his unappreciated grandmother from her drudgery and fulfill her true potential.",a loving concerned american grandson travels to mumbai to rescue his unappreciated grandmother from her drudgery and fulfill her true potential,12,,,
Superbad,"Comedies, Cult Movies","Hoping to have sex before college, high school seniors Seth and Evan try to score booze for a huge party, leading to a series of wild misadventures.",hoping to have sex before college high school seniors seth and evan try to score booze for a huge party leading to a series of wild misadventures,18,,,
Superfly,"Action & Adventure, Classic Movies, Dramas","To get away from the thug life, cocaine dealer Youngblood Priest puts together one last deal that will net him enough money to start over.",to get away from the thug life cocaine dealer youngblood priest puts together one last deal that will net him enough money to start over,11,,,
Superman Returns,"Action & Adventure, Sci-Fi & Fantasy","When Superman returns to Metropolis, he finds that Lois Lane has moved on to another man and Lex Luthor is developing a new plan to rule the world.",when superman returns to metropolis he finds that lois lane has moved on to another man and lex luthor is developing a new plan to rule the world,12,,,
Superstar,Comedies,A socially awkward Catholic schoolgirl vows to win a dreamy classmateâ€™s affections by taking first prize at an upcoming talent show.,a socially awkward catholic schoolgirl vows to win a dreamy classmateâ€™s affections by taking first prize at an upcoming talent show,24,,,
Surat Dari Praha,"Dramas, International Movies, Romantic Movies","Hoping to fulfill her deceased mother's final wish, a young woman travels to Prague to deliver an old letter to a mysterious man.",hoping to fulfill her deceased mother s final wish a young woman travels to prague to deliver an old letter to a mysterious man,12,,,
Survivors Guide to Prison,Documentaries,"Former inmates, officers and celebrities critique the U.S. prison system in this documentary packaged as a how-to handbook for the incarcerated.",former inmates officers and celebrities critique the u s prison system in this documentary packaged as a how to handbook for the incarcerated,3,,,
Susanne Bartsch: On Top,"Documentaries, LGBTQ Movies","Beyond her larger-than-life persona, this documentary reveals the woman behind the famed event planner, and her legacy as a cultural icon and activist.",beyond her larger than life persona this documentary reveals the woman behind the famed event planner and her legacy as a cultural icon and activist,3,,,
Sustainable,Documentaries,"Chef Rick Bayless, farmers and others discuss the history leading to the sustainable food movement and how it could change what we eat in the future.",chef rick bayless farmers and others discuss the history leading to the sustainable food movement and how it could change what we eat in the future,3,,,
Swami,"Dramas, Independent Movies, International Movies","After she enters into an arranged marriage, a spirited and intellectual young woman tries to adjust to life with a man who was not her choice.",after she enters into an arranged marriage a spirited and intellectual young woman tries to adjust to life with a man who was not her choice,14,,,
Sweeney Todd: The Demon Barber of Fleet Street,"Dramas, Horror Movies, Music & Musicals","After being falsely imprisoned, a vengeful murderer covers his tracks by enlisting the help of a baker whose meat pies become the toast of London.",after being falsely imprisoned a vengeful murderer covers his tracks by enlisting the help of a baker whose meat pies become the toast of london,19,,,
Sweet Virginia,"Dramas, Independent Movies, Thrillers","In a remote Alaskan town reeling from a sudden triple murder, a former rodeo champ befriends a lone newcomer with a violent occupation.",in a remote alaskan town reeling from a sudden triple murder a former rodeo champ befriends a lone newcomer with a violent occupation,5,,,
Swiss Army Man,"Comedies, Dramas, Independent Movies",A washed-up corpse with surprising abilities gives a hopeless man stranded in the wilderness someone to talk to â€“ and a newfound reason to live.,a washed up corpse with surprising abilities gives a hopeless man stranded in the wilderness someone to talk to â€“ and a newfound reason to live,12,,,
Sword Master,"Action & Adventure, Dramas, International Movies","Haunted by the past, a master swordsman masks his identity to work anonymously as a janitor in a brothel, setting in motion a violent chain of events.",haunted by the past a master swordsman masks his identity to work anonymously as a janitor in a brothel setting in motion a violent chain of events,21,,,
Sword Masters: Two Champions of Shaolin,"Action & Adventure, International Movies","Shaolin warrior Tung Chien-chen is injured in battle against the hated Wu Tang clan, and nursed back to health by a knife-throwing master. As he recovers, Tung learns this deadly art, and also falls in love with his teacher's daughter.",shaolin warrior tung chien chen is injured in battle against the hated wu tang clan and nursed back to health by a knife throwing master as he recovers tung learns this deadly art and also falls in love with his teacher s daughter,7,,,
Taal,"Dramas, International Movies, Music & Musicals","Businessman Manav falls for aspiring singer Mansi, but their romance faces an uphill climb when Manav must depart and Mansi's suave manager moves in.",businessman manav falls for aspiring singer mansi but their romance faces an uphill climb when manav must depart and mansi s suave manager moves in,14,,,
Tahaan,"Dramas, International Movies","After his family's donkey is confiscated by a moneylender, 8-year-old Tahaan travels across conflict-torn Kashmir to find his beloved pet.",after his family s donkey is confiscated by a moneylender 8 year old tahaan travels across conflict torn kashmir to find his beloved pet,9,,,
Take Me Home Tonight,"Comedies, Romantic Movies","Set in the financial boom of the late 1980s, this tale centers on a recent college grad trying to figure out what to do with his life.",set in the financial boom of the late 1980s this tale centers on a recent college grad trying to figure out what to do with his life,11,,,
Tamanchey,"Action & Adventure, International Movies, Romantic Movies",A man and a woman on the run from the law are drawn to each other through the common bond of their mutual dependency.,a man and a woman on the run from the law are drawn to each other through the common bond of their mutual dependency,9,,,
Tarif de nuit,"International Movies, Thrillers","A night out in Paris quickly unravels when two friends provoke the wrong taxi driver, who's after something bigger than cab fare.",a night out in paris quickly unravels when two friends provoke the wrong taxi driver who s after something bigger than cab fare,0,,,
Tarzan,Children & Family Movies,"After being shipwrecked off the African coast, a lone child grows up in the wild, and is destined to become lord of the jungle.",after being shipwrecked off the african coast a lone child grows up in the wild and is destined to become lord of the jungle,13,,,
Tarzan 2,Children & Family Movies,How did the King of the Jungle ascend to the throne? Find out in this charming prequel to the hit animated movie that catches Tarzan as a young child.,how did the king of the jungle ascend to the throne find out in this charming prequel to the hit animated movie that catches tarzan as a young child,25,,,
Tattah,"Comedies, International Movies",A down-on-his-luck man must prove he's not as hapless as he seems when the woman he's on a date with is suddenly kidnapped.,a down on his luck man must prove he s not as hapless as he seems when the woman he s on a date with is suddenly kidnapped,11,,,
Tayo the Little Bus Movie: Mission Ace,Children & Family Movies,"After he loses his favorite racing car, Duri ventures to a mysterious, magical land filled with toys that have been thrown away.",after he loses his favorite racing car duri ventures to a mysterious magical land filled with toys that have been thrown away,18,,,
Teach Us All,Documentaries,"It's been decades since Brown v. Board of Education, yet American schools remain largely segregated. Some leaders are working to change that.",it s been decades since brown v board of education yet american schools remain largely segregated some leaders are working to change that,24,,,
Teen Patti,"Dramas, International Movies, Thrillers","Luck brings together math expert Perci Trachtenberg and obscure genius Venkat Subramaniam in a casino, but the foundations of probability may be utterly altered when their chat leads Subramaniam to try a new theory in the gambling dens of Mumbai.",luck brings together math expert perci trachtenberg and obscure genius venkat subramaniam in a casino but the foundations of probability may be utterly altered when their chat leads subramaniam to try a new theory in the gambling dens of mumbai,5,,,
Teenage Cocktail,"Dramas, Independent Movies, LGBTQ Movies","Two teen girls form an intense bond and launch a lucrative webcam business, leading them to a dangerous encounter with a middle-aged married man.",two teen girls form an intense bond and launch a lucrative webcam business leading them to a dangerous encounter with a middle aged married man,0,,,
Teenage Mutant Ninja Turtles,"Children & Family Movies, Comedies","In this animated adventure, Master Splinter whips the four Ninja Turtles back into shape to defeat monsters running amok in New York.",in this animated adventure master splinter whips the four ninja turtles back into shape to defeat monsters running amok in new york,10,,,
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"Children & Family Movies, Comedies","The evil Shredder decides that ooze is what gives the ninja turtles their power, so he obtains some of the toxic junk and creates dangerous mutants.",the evil shredder decides that ooze is what gives the ninja turtles their power so he obtains some of the toxic junk and creates dangerous mutants,10,,,
Teenage Mutant Ninja Turtles: The Movie,"Action & Adventure, Comedies","After exposure to a strange, glowing ooze, four mutant turtles train as ninjas in the sewers and fight crime wherever they find it.",after exposure to a strange glowing ooze four mutant turtles train as ninjas in the sewers and fight crime wherever they find it,10,,,
Tees Maar Khan,"Comedies, International Movies, Music & Musicals",A flamboyant con artist and his band of gleeful robbers gamble with fate when smugglers hire them to swipe antiques from a speeding train.,a flamboyant con artist and his band of gleeful robbers gamble with fate when smugglers hire them to swipe antiques from a speeding train,22,,,
Tellur Aliens,Children & Family Movies,Three teenaged best friends on the planet Telluria begin an incredible journey of adventure as they fight against the most evil being in the universe.,three teenaged best friends on the planet telluria begin an incredible journey of adventure as they fight against the most evil being in the universe,10,,,
Temporada de Caza,"Dramas, International Movies",Animosity gives way to love and forgiveness when an angry teenager reunites with his estranged biological father in the wilds of Patagonia.,animosity gives way to love and forgiveness when an angry teenager reunites with his estranged biological father in the wilds of patagonia,9,,,
Ten Years,"Dramas, Independent Movies, International Movies","Five shorts reveal a fictional Hong Kong in 2025, depicting a dystopian city where residents and activists face crackdowns under iron-fisted rule.",five shorts reveal a fictional hong kong in 2025 depicting a dystopian city where residents and activists face crackdowns under iron fisted rule,3,,,
Terminator 3: Rise of the Machines,"Action & Adventure, Sci-Fi & Fantasy","Ten years after John Connor saved Earth from Judgment Day, he encounters T-X, a robotic assassin ordered to finish what T-1000 started.",ten years after john connor saved earth from judgment day he encounters t x a robotic assassin ordered to finish what t 1000 started,7,,,
Terminator Salvation,"Action & Adventure, Sci-Fi & Fantasy","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against increasingly dominating militaristic robots.",all grown up in post apocalyptic 2018 john connor must lead the resistance of humans against increasingly dominating militaristic robots,13,,,
Terra,"Documentaries, International Movies",This visually arresting documentary essay reflects on our relationship to other living creatures as humanity becomes more isolated from nature.,this visually arresting documentary essay reflects on our relationship to other living creatures as humanity becomes more isolated from nature,3,,,
Terrifier,"Horror Movies, Independent Movies, Thrillers","On Halloween night, inside a dilapidated apartment building, Art the Clown stalks his victims, slicing and slaughtering in terrifying silence.",on halloween night inside a dilapidated apartment building art the clown stalks his victims slicing and slaughtering in terrifying silence,21,,,
Teshan,"Comedies, International Movies, Romantic Movies",New beginnings appear to be on the horizon after a simple country boy forms a bond with a sophisticated urban girl with modern ideas.,new beginnings appear to be on the horizon after a simple country boy forms a bond with a sophisticated urban girl with modern ideas,12,,,
Tezz,"Action & Adventure, International Movies, Music & Musicals",This high-octane thriller tells the story of a man on a mission to reclaim what was taken from him and the agent who's determined to stop him.,this high octane thriller tells the story of a man on a mission to reclaim what was taken from him and the agent who s determined to stop him,7,,,
The 24 Hour War,"Documentaries, Sports Movies",An intense rivalry between Henry Ford II of the Ford Motor Company and Enzo Ferrari results in the most epic showdown in racing history.,an intense rivalry between henry ford ii of the ford motor company and enzo ferrari results in the most epic showdown in racing history,2,,,
The 4th Company,"Action & Adventure, Dramas, International Movies","In a violent prison in 1970s Mexico, a young inmate lands a spot on a football team that doubles as an enforcer squad for a corrupt administration.",in a violent prison in 1970s mexico a young inmate lands a spot on a football team that doubles as an enforcer squad for a corrupt administration,15,,,
The Accountant of Auschwitz,"Documentaries, International Movies","Decades after WWII, a former SS officer stands trial in his native Germany after being charged for his complicity in the murder of Jews at Auschwitz.",decades after wwii a former ss officer stands trial in his native germany after being charged for his complicity in the murder of jews at auschwitz,23,,,
The Adderall Diaries,"Dramas, Thrillers",Author Stephen Elliott has a problem separating his own life from incidents in the life of a convicted murderer about whom he's writing a book.,author stephen elliott has a problem separating his own life from incidents in the life of a convicted murderer about whom he s writing a book,23,,,
The Adventure Club,Children & Family Movies,"After finding a peculiar key, three smart and adventurous kids launch a quest to uncover the whereabouts of a coveted archaeological treasure.",after finding a peculiar key three smart and adventurous kids launch a quest to uncover the whereabouts of a coveted archaeological treasure,10,,,
The Adventures of Sharkboy and Lavagirl,Children & Family Movies,A 10-year-old dreamer's imaginary friends â€“ mighty Sharkboy and fire-producing Lavagirl â€“ come to life to seek his help battling a nefarious baddie.,a 10 year old dreamer s imaginary friends â€“ mighty sharkboy and fire producing lavagirl â€“ come to life to seek his help battling a nefarious baddie,18,,,
The Adventures of Tintin,Children & Family Movies,"This 3-D motion capture adapts Georges Remi's classic comic strip about the adventures of fearless young journalist Tintin and his trusty dog, Snowy.",this 3 d motion capture adapts georges remi s classic comic strip about the adventures of fearless young journalist tintin and his trusty dog snowy,25,,,
The Aerial,"Dramas, International Movies, Sci-Fi & Fantasy","In the City Without a Voice, only faceless singer the Voice can still vocalize. Everyone else has lost the power of speech as they let Mr. TV's broadcasts speak for them. But when Mr. TV kidnaps the Voice, things change.",in the city without a voice only faceless singer the voice can still vocalize everyone else has lost the power of speech as they let mr tv s broadcasts speak for them but when mr tv kidnaps the voice things change,11,,,
The Age of Shadows,"Action & Adventure, Dramas, International Movies","Formerly a Korean resistance fighter, a policeman working for Japan is tasked with tracking down resistance leaders before they acquire explosives.",formerly a korean resistance fighter a policeman working for japan is tasked with tracking down resistance leaders before they acquire explosives,13,,,
The American President,"Comedies, Dramas, Romantic Movies",The widowed president strikes up a romance with a beautiful Washington lobbyist â€“ but can the couple keep their private and political lives separate?,the widowed president strikes up a romance with a beautiful washington lobbyist â€“ but can the couple keep their private and political lives separate,14,,,
The Amityville Horror,Horror Movies,"This hair-raising remake of the 1979 horror hit depicts the ordeal of the Lutz family, whose new home has a gory past and a legacy of demons.",this hair raising remake of the 1979 horror hit depicts the ordeal of the lutz family whose new home has a gory past and a legacy of demons,25,,,
The Angry Birds Movie 2,"Children & Family Movies, Comedies",Enemies turn into frenemies when the Pigs call for a truce with the Birds to unite against a formidable new foe thatâ€™s threatening all of their homes.,enemies turn into frenemies when the pigs call for a truce with the birds to unite against a formidable new foe thatâ€™s threatening all of their homes,0,,,
The Animal People,Documentaries,Animal rights protesters trying to shut down a facility that conducts animal testing are labeled terrorists by big business and law enforcement.,animal rights protesters trying to shut down a facility that conducts animal testing are labeled terrorists by big business and law enforcement,15,,,
The Ant's Scream,"Comedies, Dramas, International Movies","Released after being wrongly imprisoned in Iraq, an Egyptian contractor returns home to a country on the brink of revolution.",released after being wrongly imprisoned in iraq an egyptian contractor returns home to a country on the brink of revolution,13,,,
The Apostate,"Comedies, Dramas, International Movies",A young man determined to renounce Catholicism by having his baptismal records excised is thwarted by church bureaucracy and his own inner conflicts.,a young man determined to renounce catholicism by having his baptismal records excised is thwarted by church bureaucracy and his own inner conflicts,0,,,
The Art of the Steal,"Action & Adventure, Comedies, Independent Movies","Crunch Calhoun, a daredevil motorcyclist and mostly reformed con artist, agrees to do one last job: helping his brother Nicky steal a priceless book.",crunch calhoun a daredevil motorcyclist and mostly reformed con artist agrees to do one last job helping his brother nicky steal a priceless book,22,,,
The Art of War,Action & Adventure,"Framed for the murder of an ambassador, a former member of the United Nations' elite covert action unit will do whatever it takes to clear his name.",framed for the murder of an ambassador a former member of the united nations elite covert action unit will do whatever it takes to clear his name,15,,,
The Assignment,Action & Adventure,A hitman has his body surgically altered into a woman's against his will. Now he has to track down the surgeon responsible and get his revenge.,a hitman has his body surgically altered into a woman s against his will now he has to track down the surgeon responsible and get his revenge,23,,,
The Autopsy of Jane Doe,"Horror Movies, Independent Movies, Thrillers",A father-son team of small-town coroners performs an autopsy on an unidentified woman with mysterious injuries and a terrifying secret.,a father son team of small town coroners performs an autopsy on an unidentified woman with mysterious injuries and a terrifying secret,21,,,
The Bachelors,Dramas,"After the death of his wife, a teacher and his son move to a new city, where emotional connections with two women help them begin to heal.",after the death of his wife a teacher and his son move to a new city where emotional connections with two women help them begin to heal,9,,,
The Bad Education Movie,Comedies,"Britain's most ineffective but caring teacher takes his class to Cornwall for one last school trip, where anything could happen â€“",,,,,
" and probably will.""",britain s most ineffective but caring teacher takes his class to cornwall for one last school trip where anything could happen â€“ and probably will,6,,,,,
The Bad Kids,Documentaries,"In this documentary, teachers at a Mojave Desert high school adhere to a belief that compassion and life skills can profoundly help at-risk students.",in this documentary teachers at a mojave desert high school adhere to a belief that compassion and life skills can profoundly help at risk students,24,,,
The Bare-Footed Kid,"Action & Adventure, International Movies","While working at a family friend's business, a penniless orphan draws the attention of a corrupt competitor and is torn between divided loyalties.",while working at a family friend s business a penniless orphan draws the attention of a corrupt competitor and is torn between divided loyalties,0,,,
The Basement,"Horror Movies, Thrillers","Known for tortuous role-play with victims in his basement, a twisted serial killer abducts a musician who has a deeper connection to his mind games.",known for tortuous role play with victims in his basement a twisted serial killer abducts a musician who has a deeper connection to his mind games,19,,,
The Battle of Midway,"Classic Movies, Documentaries","Director John Ford captures combat footage of the Battle of Midway, an air and sea campaign that was a turning point in the war in the Pacific.",director john ford captures combat footage of the battle of midway an air and sea campaign that was a turning point in the war in the pacific,20,,,
The Bill Murray Stories: Life Lessons Learned From a Mythical Man,Documentaries,"This documentary highlights spontaneous encounters with the elusive, comedic veteran, who touches lives by simply showing up anywhere.",this documentary highlights spontaneous encounters with the elusive comedic veteran who touches lives by simply showing up anywhere,20,,,
The Black Room,Horror Movies,A couple's new dream home morphs into a nightmare after they learn that an evil and lustful spirit resides in their basement.,a couple s new dream home morphs into a nightmare after they learn that an evil and lustful spirit resides in their basement,21,,,
The Blackcoat's Daughter,"Horror Movies, Independent Movies, Thrillers","When their parents fail to pick them up for winter break, two students stay on at an all-girls boarding school in the company of a terrible presence.",when their parents fail to pick them up for winter break two students stay on at an all girls boarding school in the company of a terrible presence,24,,,
The Bleeder,"Dramas, Sports Movies","Husband. Father. Fighter. Meet Chuck Wepner, the liquor salesman and self-proclaimed real-life inspiration behind Rocky Balboa.",husband father fighter meet chuck wepner the liquor salesman and self proclaimed real life inspiration behind rocky balboa,1,,,
The Bomb,Documentaries,"Form, montage and mesmerizing kinetics propel this experimental meditation on the destructive power of the nuclear bomb, featuring music by The Acid.",form montage and mesmerizing kinetics propel this experimental meditation on the destructive power of the nuclear bomb featuring music by the acid,3,,,
The Book of Eli,"Action & Adventure, Sci-Fi & Fantasy","Determined to protect a sacred text that promises to save humanity, Eli goes on a quest westward across the barren, postapocalyptic country.",determined to protect a sacred text that promises to save humanity eli goes on a quest westward across the barren postapocalyptic country,10,,,
The Boss's Daughter,"Dramas, International Movies, Romantic Movies","While working together, a married textile foreman and his bossâ€™s daughter have a torrid love affair, stirring up hostility among the factory crew.",while working together a married textile foreman and his bossâ€™s daughter have a torrid love affair stirring up hostility among the factory crew,0,,,
The Bounty Hunter,"Action & Adventure, Comedies, Romantic Movies","Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole.",bounty hunter milo boyd finds his latest assignment downright satisfying as he learns that the bail jumper he must chase down is his ex wife nicole,22,,,
The Box,"Sci-Fi & Fantasy, Thrillers",A couple must decide whether to push a button that will net them a million dollars but that will also cause the death of a complete stranger.,a couple must decide whether to push a button that will net them a million dollars but that will also cause the death of a complete stranger,11,,,
The Boy,"Horror Movies, Independent Movies, Thrillers",A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human.,a nanny is hired by a couple to look after their boy she s shocked to learn that her charge is actually a doll that the couple treats like a human,11,,,
The Boy in the Striped Pajamas,"Dramas, Independent Movies, International Movies","When his family moves from Berlin to Poland, a young boy befriends a boy who lives on the other side of the fence, unaware he's a Jewish prisoner.",when his family moves from berlin to poland a young boy befriends a boy who lives on the other side of the fence unaware he s a jewish prisoner,23,,,
The Brave One,"Dramas, Thrillers",New York City radio host Erica Bain decides to take the law into her own hands after losing her fiancÃ© in a brutal Central Park attack.,new york city radio host erica bain decides to take the law into her own hands after losing her fiancÃ© in a brutal central park attack,5,,,
The Brawler,"Dramas, Independent Movies, Sports Movies","Newly famous after challenging Muhammad Ali for a championship title, boxer Chuck Wepner spirals down the slippery slope of being a celebrity.",newly famous after challenging muhammad ali for a championship title boxer chuck wepner spirals down the slippery slope of being a celebrity,2,,,
The Breadwinner,"Children & Family Movies, Dramas, International Movies",A courageous 11-year-old Afghan girl disguises herself as a boy and takes on odd jobs to provide for her family when her father is arrested.,a courageous 11 year old afghan girl disguises herself as a boy and takes on odd jobs to provide for her family when her father is arrested,23,,,
The Break-Up,"Comedies, Dramas, Romantic Movies",Cohabitating couple Gary and Brooke's petty spats turn into an all-out battle for their home condo.,cohabitating couple gary and brooke s petty spats turn into an all out battle for their home condo,12,,,
The Bridge,"Dramas, International Movies, Romantic Movies",A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.,a yoruba prince and a young lady from a prominent igbo family face tribal prejudice and parental pressure when they secretly wed,14,,,
The Brothers Grimm,"Action & Adventure, Sci-Fi & Fantasy","Brothers Jake and Will Grimm travel from village to village, posing as exterminators of magical creatures. But in reality, they're expert con artists.",brothers jake and will grimm travel from village to village posing as exterminators of magical creatures but in reality they re expert con artists,13,,,
The Bucket List,"Comedies, Dramas",Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.,two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket,11,,,
The Bulbul's Nest,"Comedies, International Movies","A taxi driver longs to be a pop singer, but the road to stardom is wrought with competition and struggle until he befriends a helpful belly dancer.",a taxi driver longs to be a pop singer but the road to stardom is wrought with competition and struggle until he befriends a helpful belly dancer,2,,,
The Bund,"Action & Adventure, Dramas, International Movies","After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai â€“ all while rising to power in an organized crime syndicate.",after losing everything a young man rebuilds his life and finds love in 1920s shanghai â€“ all while rising to power in an organized crime syndicate,4,,,
The Bye Bye Man,"Horror Movies, Thrillers",Three college students move into an off-campus house and discover they've unwittingly unleashed a supernatural killer known as the Bye Bye Man.,three college students move into an off campus house and discover they ve unwittingly unleashed a supernatural killer known as the bye bye man,19,,,
The Bygone,"Independent Movies, Thrillers","His way of life under threat due to the oil fracking boom, a young rancher defends a Lakota woman and becomes entangled in human trafficking.",his way of life under threat due to the oil fracking boom a young rancher defends a lakota woman and becomes entangled in human trafficking,4,,,
The Cakemaker,"Dramas, Independent Movies, International Movies","When a German baker travels to Jerusalem in search of his dead male loverâ€™s family, his growing involvement with them may expose his truth.",when a german baker travels to jerusalem in search of his dead male loverâ€™s family his growing involvement with them may expose his truth,4,,,
The Captive,"Dramas, Thrillers","Eight years after their daughter's abduction tore them apart, her parents receive enigmatic clues from the kidnapper hinting that she's still alive.",eight years after their daughter s abduction tore them apart her parents receive enigmatic clues from the kidnapper hinting that she s still alive,23,,,
The Car,"Cult Movies, Horror Movies","In his small Southwestern town, sheriff Wade Parent must find out who â€” or what â€” is running people down via a mysterious, driverless black sedan.",in his small southwestern town sheriff wade parent must find out who â€” or what â€” is running people down via a mysterious driverless black sedan,12,,,
The Carter Effect,"Documentaries, Sports Movies","Featuring eight-time NBA All-Star Vince Carter, this documentary takes an in-depth look at his impact on pop culture and the Canadian basketball scene.",featuring eight time nba all star vince carter this documentary takes an in depth look at his impact on pop culture and the canadian basketball scene,20,,,
The Case for Christ,"Dramas, Faith & Spirituality","Bothered by his wife's unyielding belief in Christianity, an investigative reporter sets out to use verifiable facts to poke holes in her faith.",bothered by his wife s unyielding belief in christianity an investigative reporter sets out to use verifiable facts to poke holes in her faith,19,,,
The Cell,"Action & Adventure, Dramas, International Movies",A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack.,a special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack,15,,,
The CEO,"Dramas, International Movies, Thrillers",A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win â€“ and stay alive.,a group of executives heads to a telecommunications retreat to pick the firm s new ceo until they find themselves in a contest to win â€“ and stay alive,5,,,
The Charnel House,"Horror Movies, Thrillers","After an architect transforms a slaughterhouse into trendy lofts, its new inhabitants discover that the structure is haunted by its evil past.",after an architect transforms a slaughterhouse into trendy lofts its new inhabitants discover that the structure is haunted by its evil past,21,,,
The Chord,"Dramas, International Movies, Music & Musicals","A detective investigates the murder of a young musician, whose philandering lifestyle leaves a long list of suspects and a lot of questions.",a detective investigates the murder of a young musician whose philandering lifestyle leaves a long list of suspects and a lot of questions,19,,,
The Chosen,"Dramas, International Movies, Thrillers","In 1937, Spanish revolutionary RamÃ³n trains as a Soviet spy, impersonating a wealthy Belgian as part of a plot to assassinate Leon Trotsky in Mexico.",in 1937 spanish revolutionary ramÃ³n trains as a soviet spy impersonating a wealthy belgian as part of a plot to assassinate leon trotsky in mexico,15,,,
The Chosen Ones,"Dramas, Independent Movies, International Movies","Young Ulises falls in love with teen Sofia, even as he is forced to lure her into his family's prostitution ring. Now he'll do anything to rescue her.",young ulises falls in love with teen sofia even as he is forced to lure her into his family s prostitution ring now he ll do anything to rescue her,11,,,
The Christmas Candle,"Dramas, Faith & Spirituality",A progressive new minister's arrival in a small village threatens to end an age-old tradition that brings a yuletide miracle to one of the residents.,a progressive new minister s arrival in a small village threatens to end an age old tradition that brings a yuletide miracle to one of the residents,18,,,
The Christmas Project,"Children & Family Movies, Comedies",Four brothers prepare for war when they're forced to deliver secret holiday gifts to the school bullies. But they soon learn kindness goes a long way.,four brothers prepare for war when they re forced to deliver secret holiday gifts to the school bullies but they soon learn kindness goes a long way,18,,,
The Cincinnati Kid,"Classic Movies, Dramas","In Depression-era New Orleans, cocksure stud poker player Eric Stoner â€“ the titular Cincinnati Kid â€“ challenges longtime champ Lancey ""The Man"" Howard to a showdown at the table, where a war of wills â€“ and nerve â€“ ensues.",in depression era new orleans cocksure stud poker player eric stoner â€“ the titular cincinnati kid â€“ challenges longtime champ lancey the man howard to a showdown at the table where a war of wills â€“ and nerve â€“ ensues,2,,,
The Company Men,"Dramas, Independent Movies",A successful businessman comes face-to-face with America's downsizing epidemic when he loses his job and is forced to take a construction gig.,a successful businessman comes face to face with america s downsizing epidemic when he loses his job and is forced to take a construction gig,23,,,
The Competition,"Comedies, Romantic Movies","After developing an ""infidelity formula"" said to repel cheating, a popular blogger crosses paths with a charming lawyer willing to put it to the test.",after developing an infidelity formula said to repel cheating a popular blogger crosses paths with a charming lawyer willing to put it to the test,24,,,
The Confirmation,"Comedies, Dramas, Independent Movies",A divorced handyman with a drinking problem bonds with his 8-year-old son when a search for his stolen toolbox leads to a series of misadventures.,a divorced handyman with a drinking problem bonds with his 8 year old son when a search for his stolen toolbox leads to a series of misadventures,11,,,
The Congress,"Dramas, International Movies, Sci-Fi & Fantasy",Actress Robin Wright plays herself in this surreal drama about a film star who agrees to have her digital image recorded for reuse in future films.,actress robin wright plays herself in this surreal drama about a film star who agrees to have her digital image recorded for reuse in future films,6,,,
